renekton,cassiopeia,Seconds
"(26.0, 17.0)","(119.0, 34.0)",529
"(25.0, 17.0)","(124.0, 28.0)",530
"(23.0, 18.0)","(129.0, 21.0)",531
"(21.0, 18.0)","(134.0, 15.0)",532
"(16.0, 18.0)","(139.0, 8.0)",533
"(16.0, 18.0)","(136.0, 10.0)",534
"(16.0, 18.0)","(133.0, 12.0)",535
"(16.0, 18.0)","(131.0, 16.0)",536
"(16.0, 18.0)","(129.0, 19.0)",537
"(16.0, 18.0)","(127.0, 22.0)",538
"(16.0, 18.0)","(125.0, 25.0)",539
"(16.0, 18.0)","(123.0, 28.0)",540
"(16.0, 18.0)","(121.0, 32.0)",541
"(16.0, 18.0)","(118.0, 35.0)",542
"(16.0, 18.0)","(116.0, 37.0)",543
"(16.0, 18.0)","(113.0, 40.0)",544
"(16.0, 18.0)","(111.0, 43.0)",545
"(16.0, 18.0)","(109.0, 46.0)",546
"(16.0, 18.0)","(106.0, 50.0)",547
"(16.0, 18.0)","(104.0, 53.0)",548
"(16.0, 18.0)","(101.0, 55.0)",549
"(16.0, 18.0)","(98.0, 58.0)",550
"(16.0, 18.0)","(94.0, 60.0)",551
"(16.0, 18.0)","(91.0, 63.0)",552
"(16.0, 18.0)","(88.0, 65.0)",553
"(30.0, 127.0)","(85.0, 67.0)",554
"(35.0, 121.0)","(82.0, 70.0)",555
"(38.0, 118.0)","(80.0, 72.0)",556
"(41.0, 115.0)","(79.0, 73.0)",557
"(44.0, 112.0)","(80.0, 72.0)",558
"(46.0, 109.0)","(80.0, 72.0)",559
"(49.0, 106.0)","(80.0, 72.0)",560
"(52.0, 103.0)","(78.0, 72.0)",561
"(55.0, 100.0)","(78.0, 72.0)",562
"(58.0, 97.0)","(79.0, 72.0)",563
"(61.0, 94.0)","(80.0, 72.0)",564
"(64.0, 91.0)","(81.0, 73.0)",565
"(65.0, 88.0)","(82.0, 73.0)",566
"(66.0, 84.0)","(81.0, 73.0)",567
"(68.0, 82.0)","(68.0, 82.0)",568
"(68.0, 82.0)","(68.0, 82.0)",569
"(68.0, 82.0)","(68.0, 82.0)",570
"(68.0, 81.0)","(68.0, 81.0)",571
"(68.0, 81.0)","(68.0, 81.0)",572
"(66.0, 82.0)","(66.0, 82.0)",573
"(67.0, 82.0)","(67.0, 82.0)",574
"(69.0, 81.0)","(80.0, 79.0)",575
"(71.0, 80.0)","(94.0, 76.0)",576
"(73.0, 79.0)","(96.0, 79.0)",577
"(75.0, 78.0)","(99.0, 79.0)",578
"(74.0, 77.0)","(103.0, 77.0)",579
"(73.0, 79.0)","(105.0, 76.0)",580
"(70.0, 82.0)","(108.0, 74.0)",581
"(67.0, 84.0)","(110.0, 74.0)",582
"(66.0, 86.0)","(108.0, 73.0)",583
"(65.0, 88.0)","(104.0, 73.0)",584
"(64.0, 90.0)","(96.0, 75.0)",585
"(64.0, 93.0)","(93.0, 75.0)",586
"(63.0, 95.0)","(89.0, 74.0)",587
"(62.0, 97.0)","(87.0, 74.0)",588
"(61.0, 99.0)","(85.0, 75.0)",589
"(63.0, 102.0)","(83.0, 76.0)",590
"(64.0, 102.0)","(82.0, 76.0)",591
"(66.0, 102.0)","(80.0, 76.0)",592
"(67.0, 101.0)","(78.0, 77.0)",593
"(69.0, 101.0)","(76.0, 78.0)",594
"(70.0, 101.0)","(74.0, 78.0)",595
"(71.0, 95.0)","(74.0, 80.0)",596
"(71.0, 95.0)","(73.0, 79.0)",597
"(71.0, 95.0)","(73.0, 79.0)",598
"(68.0, 97.0)","(73.0, 79.0)",599
"(65.0, 98.0)","(74.0, 81.0)",600
"(62.0, 100.0)","(75.0, 84.0)",601
"(59.0, 98.0)","(76.0, 88.0)",602
"(59.0, 95.0)","(77.0, 91.0)",603
"(60.0, 92.0)","(78.0, 94.0)",604
"(60.0, 89.0)","(78.0, 98.0)",605
"(61.0, 86.0)","(76.0, 100.0)",606
"(61.0, 83.0)","(74.0, 103.0)",607
"(62.0, 83.0)","(72.0, 105.0)",608
"(63.0, 83.0)","(72.0, 109.0)",609
"(64.0, 82.0)","(72.0, 110.0)",610
"(65.0, 82.0)","(72.0, 111.0)",611
"(66.0, 82.0)","(74.0, 112.0)",612
"(67.0, 79.0)","(76.0, 112.0)",613
"(68.0, 77.0)","(77.0, 112.0)",614
"(69.0, 74.0)","(79.0, 112.0)",615
"(70.0, 72.0)","(81.0, 112.0)",616
"(71.0, 69.0)","(82.0, 112.0)",617
"(75.0, 69.0)","(84.0, 111.0)",618
"(76.0, 69.0)","(86.0, 111.0)",619
"(76.0, 69.0)","(88.0, 111.0)",620
"(77.0, 69.0)","(89.0, 111.0)",621
"(78.0, 69.0)","(91.0, 111.0)",622
"(80.0, 69.0)","(89.0, 108.0)",623
"(82.0, 69.0)","(88.0, 104.0)",624
"(84.0, 67.0)","(88.0, 100.0)",625
"(83.0, 67.0)","(88.0, 96.0)",626
"(82.0, 66.0)","(90.0, 93.0)",627
"(82.0, 66.0)","(88.0, 89.0)",628
"(81.0, 65.0)","(87.0, 85.0)",629
"(80.0, 65.0)","(86.0, 82.0)",630
"(77.0, 62.0)","(84.0, 78.0)",631
"(74.0, 59.0)","(85.0, 75.0)",632
"(72.0, 56.0)","(87.0, 71.0)",633
"(73.0, 52.0)","(87.0, 70.0)",634
"(76.0, 49.0)","(87.0, 68.0)",635
"(76.0, 45.0)","(88.0, 66.0)",636
"(77.0, 41.0)","(89.0, 64.0)",637
"(78.0, 37.0)","(90.0, 63.0)",638
"(78.0, 33.0)","(91.0, 62.0)",639
"(79.0, 30.0)","(93.0, 60.0)",640
"(80.0, 28.0)","(96.0, 57.0)",641
"(81.0, 26.0)","(98.0, 54.0)",642
"(82.0, 23.0)","(100.0, 50.0)",643
"(82.0, 20.0)","(101.0, 47.0)",644
"(83.0, 18.0)","(102.0, 43.0)",645
"(84.0, 16.0)","(101.0, 40.0)",646
"(85.0, 13.0)","(100.0, 36.0)",647
"(84.0, 13.0)","(99.0, 32.0)",648
"(84.0, 13.0)","(98.0, 28.0)",649
"(83.0, 13.0)","(98.0, 26.0)",650
"(83.0, 13.0)","(98.0, 24.0)",651
"(82.0, 14.0)","(98.0, 26.0)",652
"(81.0, 14.0)","(98.0, 28.0)",653
"(81.0, 14.0)","(99.0, 32.0)",654
"(80.0, 14.0)","(101.0, 35.0)",655
"(80.0, 14.0)","(102.0, 39.0)",656
"(79.0, 14.0)","(102.0, 43.0)",657
"(78.0, 14.0)","(102.0, 47.0)",658
"(76.0, 14.0)","(101.0, 51.0)",659
"(72.0, 14.0)","(99.0, 54.0)",660
"(68.0, 13.0)","(97.0, 58.0)",661
"(68.0, 13.0)","(95.0, 61.0)",662
"(68.0, 13.0)","(93.0, 64.0)",663
"(68.0, 13.0)","(91.0, 66.0)",664
"(68.0, 13.0)","(87.0, 69.0)",665
"(68.0, 13.0)","(87.0, 70.0)",666
"(68.0, 13.0)","(87.0, 70.0)",667
"(68.0, 13.0)","(87.0, 71.0)",668
"(68.0, 13.0)","(88.0, 70.0)",669
"(68.0, 13.0)","(88.0, 68.0)",670
"(68.0, 13.0)","(89.0, 64.0)",671
"(68.0, 13.0)","(90.0, 61.0)",672
"(68.0, 13.0)","(89.0, 57.0)",673
"(68.0, 13.0)","(91.0, 53.0)",674
"(11.0, 133.0)","(91.0, 53.0)",675
"(14.0, 127.0)","(90.0, 55.0)",676
"(17.0, 125.0)","(87.0, 57.0)",677
"(21.0, 122.0)","(87.0, 58.0)",678
"(24.0, 120.0)","(88.0, 61.0)",679
"(28.0, 118.0)","(89.0, 64.0)",680
"(32.0, 117.0)","(87.0, 67.0)",681
"(36.0, 116.0)","(84.0, 69.0)",682
"(39.0, 114.0)","(82.0, 70.0)",683
